이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
소피아 고무나무,Ficus elastica 'Sofia',Ficus sofia,소피아,뽕나무과,,,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,취목",,,필요함,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
솔레이롤리아,Soleirolia soleirolii,"Mind your own business, baby's tears, irish moss","천사의 눈물, 병아리 눈물, 또래기",쐐기풀과,이탈리아(사르데냐 섬),,잎보기식물,풀모양,,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,"삽목,분주",,,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
수박페페로미아,Peperomia sandersii,"watermelon peperomia, watermelon begonia",수박페페,후추과,중앙 아메리카,,잎보기식물,풀모양,,,지피식물,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
수박필레아,Pilea cadierei,Aluminum plant,,쐐기풀과,"베트남, 멕시코",,잎보기식물,"관목형, 풀모양",,,하층목,일반형,,점무늬,"녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주",,,특별 관리 요구,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
수염 틸란드시아,Tillandsia usneoides,spanish moss,,파인애플과,"미국 남동부, 중부, 아르헨티나 중부",행잉이용,잎보기식물,덩굴성,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색,기타",,,,,거의 없음,"삽목,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,70% 이상,비료를 거의 요구하지않음,,,,,,
숙근이베리스,Iberis sempervirens,"Evergreen candytuft, Perennial candytuft",이베리스,봉선화과,지중해 연안,,잎&꽃보기식물,관목형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,,약함,삽목,,경험자,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,10℃,40 ~ 70%,,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애"
쉐플레라 '홍콩',Schefflera arboricola,"queensland umbrella tree, octopus tree, dwarf umbrella tree, parasol plant, star leaf",홍콩야자,두릅나무과,"뉴질랜드, 오스트레일리아, 뉴기니 자바, 대만",,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목",,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,7℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
스킨답서스,Epipremnum aureum,"scindapsus, devils ivy, goden pothos, hunter’s robe","스킨다비스, 신답서스",천남성과,"솔로몬군도, 인도네시아(자바 섬)",행잉이용,잎보기식물,덩굴성,,,"하층목,지피식물","일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,포름알데히드,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
스파티필룸,Spathiphyllum wallisii,"spath, peace lilies","스파트, 스파티필럼",천남성과,"콜롬비아, 베네수엘라",불염포는 흰색이나 나이가 들면 녹색을 띤다.,잎&꽃보기식물,풀모양,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",흰색,,,거의 없음,"삽목,분주",,경험자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 많이 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
스파티필룸 (광엽),Spathiphyllum 'Clevelandii',"spath, peace lilies",,천남성과,"콜롬비아, 베네수엘라",,잎&꽃보기식물,풀모양,,,"중층목,하층목",일반형,,기타 (무늬없음 등),기타,"봄,여름",흰색,,,거의 없음,"파종,분주",,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 많이 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
시서스,Cissus antarctica,"Grape ivy, Venezuela tree bine",,포도과,"남미 북부, 서인도제도",행잉이용,잎보기식물,덩굴성,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,부식토,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
시클라멘,Cyclamen persicum,Cyclamen,시클라멘,앵초과,유럽,,잎&꽃보기식물,풀모양,,,하층목,일반형,,점무늬,"녹색, 연두색,은색, 회색","봄,겨울","보라색,분홍색,빨강색,흰색",,,중간,파종,,전문가,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,7℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"진딧물,응애,온실가루이"
심비디움,Cymbidium spp.,"Cymbidium Orchid, boat orchids",심비디움,난초과,"열대 및 아열대 아시아, 호주",,잎&꽃보기식물,풀모양,,,중층목,건조형,,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",겨울,"분홍색,빨강색,오렌지색,노랑색,흰색,기타",,,중간,"분주,기타",,전문가,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,10℃,70% 이상,,,화분 흙 대부분 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
싱고니움,Syngonium podophyllum,Goose foot,싱고니움,천남성과,열대아메리카,,잎보기식물,"덩굴성, 풀모양",,,"하층목,지피식물",일반형,,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,,거의 없음,"삽목,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
아글라오네마,Aglaonema commutatum,"spotted evergreen, silver evergreen","아글라오네마, 아그로네마",천남성과,"말레이시아, 타이, 필리핀",,잎보기식물,풀모양,,,"중층목,하층목","일반형,수경형",,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주,기타",,경험자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
아데니움,Adenium obesum,"desert rose, adenium, impala lily","석화, 사막의 장미, (추천 유통명: 아데니움)",협죽도과,"남아프리카, 동아프리카",,"잎&꽃보기식물, 선인장다육식물","관목형, 다육형",,,"중층목,하층목",건조형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,흰색,혼합색",,,거의 없음,"파종,삽목",,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,"비료를 보통 요구함(2회/년, 4월, 7월)",배수 잘 됨,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
아디안텀,Adiantum raddianum,Delta maidenhair fern,,고사리과,브라질,"테라리움, 실내 밝은 장소",잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,분주,,경험자,특별 관리 요구,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,응애
아라우카리아,Araucaria heterophylla,Norfolk island pine,"아라우카리아, 아로카리아",아라우카리아과,"뉴질랜드, 오스트레일리아",,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
아레카야자,Chrysalidocarpus lutescens,"areca palm, butterfly palm, golden feather palm",,야자과,인도 마다가스카르,줄기가 황색을 나타내는 것은 병든 것이 아니라 원래 특성임,잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 많이 요구함,증산율이 높기 때문에 수경재배나 지하관수로도 키울 수 있다. 수경재배나 지하관수를 하면,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
아마릴리스,Hippeastrum hybridum,amaryllis,아마릴리스,백합과,남아메리카,,꽃보기식물,"풀모양, 로제트형",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색,흰색,혼합색",,,거의 없음,"파종,분주",,초보자,낮음 (잘 견딤),"높은 광도(1,500~10,000 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,7℃,40 ~ 70%,,,토양 표면이 말랐을때 충분히 관수함,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,응애
아스파라거스 풀루모수스,Asparagus pulmosus var. nanus,"Asparagus fern, smilax",,백합과,아프리카,,잎보기식물,"덩굴성, 풀모양",,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,,파종,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,응애
아스플레니움,Asplenium nidus,"bird's nest fern, hawaii bird's nest sleenwort",,고란초과,"중국남부, 대만, 인도",,잎보기식물,로제트형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,"비료를 보통 요구함 (1회/년, 봄)",,항상 흙을 축축하게 유지함(물에 잠김),항상 흙을 축축하게 유지함(물에 잠김),항상 흙을 축축하게 유지함(물에 잠김),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
아왜나무,Viburnum odoratissimum var. awabuki,Awabuki Sweet Viburnum,,인동과,"일본, 타이완, 중국, 일본",,"잎&꽃보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",봄,흰색,,빨강색,중간,"파종,삽목",,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
아이비,Hedera helix,"english ivy, baltic ivy",,두릅나무과,"유럽, 서아시아, 북아프리카","관엽, 반음지 덩굴형",잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,"점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색",,흰색,,,거의 없음,삽목,,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
아펠란드라,Aphelandra squarrosa,"zebra plant, saffron spike",,쥐꼬리망초과,"중앙 아메리카, 브라질",,잎&꽃보기식물,직립형,,,중층목,일반형,,줄무늬,"녹색, 연두색","봄,겨울",노랑색,,,거의 없음,삽목,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
아프리칸 바이올렛,Saintpaulia spp.,african violet,,괭이밥과,아프리카,꽃말 '작은 사랑' (꽃이 작고 귀여워서 붙여진 듯함),잎&꽃보기식물,"풀모양, 로제트형",,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,기타","봄,여름,겨울","파랑색,보라색,분홍색,빨강색,흰색,혼합색",,,거의 없음,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
안수리움,Anthurium andraeanum,"common anthurium, flamingo flower, oilcloth flower, painters palette",,천남성과,중앙 아메리카,,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을,겨울","분홍색,빨강색,흰색,혼합색",,,거의 없음,"분주,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"포름알데히드, 자일렌, 암모니아",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
알로카시아 아마조니카,Alocasia amazonica,elephant's ear,,천남성과,동남아시아,,잎보기식물,풀모양,,,하층목,일반형,,줄무늬,"빨강, 분홍, 자주색,기타",,,,,거의 없음,"파종,분주,기타",,전문가,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
알로카시아 쿠쿨라타,Alocasia cucullata,"Chinese taro, Chinese ape",,천남성과,열대~아열대,,잎보기식물,직립형,,,중층목,"일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,분주",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
얼룩자주달개비,Zebrina pendula,"silvery wandering jew, zebrina inch plant",,닭의장풀과,멕시코,,잎&꽃보기식물,덩굴성,,,지피식물,일반형,,줄무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색","봄,여름","분홍색,흰색",,,거의 없음,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
에메랄드리플 페페로미아,Peperomia caperata,Emerald Ripple Peperomia,,후추과,중앙 아메리카,,잎보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",,,,,,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,,,,,"응애,깍지벌레"
에크메아 파시아타,Aechmea fasciata,"urn plant, silver vase",,파인애플과,"아메리카 대륙의 정글, 브라질",,잎&꽃보기식물,로제트형,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색,빨강, 분홍, 자주색","봄,여름",분홍색,,,거의 없음,분주,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,포름알데히드,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
엘라티올 베고니아,Begonia X hiemalis,"Reiger Begonia, Elatior Begonia",,베고니아과,"원예품종, 남아메리카","화단, 컨테이너, 공중걸이",잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,오렌지색,노랑색,흰색",,,거의 없음,"파종,삽목,기타",,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,"비료를 보통 요구함 (2주, 개화시 제외)","중성,산성 / 배수 잘 됨 / 타입-Loam",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"진딧물,응애"
여우꼬리풀,Acalypha reptans,Red-hot cat's tail,"여우꼬리풀, 붉은여우꼬리풀",대극과,"인도, 동남아시아",,꽃보기식물,관목형,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,빨강색",,,거의 없음,삽목,,경험자,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,,,화분 흙 대부분 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,온실가루이"
